dropped_plane,plane_name,perplexity,delta_perplexity,cosine_similarity,kl_divergence,mae,rmse
15,Plane 15 (MSB),9999.0,9974.9316,1.0,0.0,0.414703,0.551766
14,Plane 14,1847.8782,1823.8098,0.853562,40.582741,0.163912,0.236432
13,Plane 13,255398.5625,255374.4941,-0.008425,82.058929,0.210145,0.245699
12,Plane 12,291003.3125,290979.2441,0.02278,103.243408,0.191638,0.224738
11,Plane 11,63950.375,63926.3066,0.219795,90.171524,0.126769,0.167282
10,Plane 10,2848.2393,2824.1709,0.546223,40.713615,0.106386,0.15576
9,Plane 9,89.813,65.7446,0.853705,12.726781,0.047236,0.07723
8,Plane 8,30.4164,6.3481,0.959294,4.207119,0.027967,0.045655
7,Plane 7,26.1348,2.0664,0.986045,1.525111,0.014494,0.024153
6,Plane 6,24.9071,0.8387,0.996827,0.29694,0.007371,0.012442
5,Plane 5,24.3224,0.254,0.99912,0.073261,0.004067,0.006535
4,Plane 4,24.0625,-0.0059,0.999858,0.016694,0.00222,0.003464
3,Plane 3,24.022,-0.0464,1.0,0.00453,0.001055,0.00172
2,Plane 2,24.0469,-0.0215,1.0,0.000331,7.8e-05,0.000113
1,Plane 1,24.0607,-0.0077,1.0,0.000263,3.4e-05,5.3e-05
0,Plane 0 (LSB),24.062,-0.0064,1.0,0.000208,1.2e-05,2.2e-05
