tensor_name,bits,torch_equal,mae,rmse,max_error,mean_relative_error,cosine_similarity,num_elements
model.embed_tokens.weight,16,True,0.0,0.0,0.0,0.0,1.0,254279680
model.layers.0.linear_attn.dt_bias,16,True,0.0,0.0,0.0,0.0,1.0,16
model.layers.0.linear_attn.A_log,16,True,0.0,0.0,0.0,0.0,1.0,16
model.layers.0.linear_attn.conv1d.weight,16,True,0.0,0.0,0.0,0.0,1.0,24576
model.layers.0.linear_attn.norm.weight,16,True,0.0,0.0,0.0,0.0,1.0,128
model.layers.0.linear_attn.out_proj.weight,16,True,0.0,0.0,0.0,0.0,1.0,2097152
model.layers.0.linear_attn.in_proj_qkv.weight,16,True,0.0,0.0,0.0,0.0,1.0,6291456
model.layers.0.linear_attn.in_proj_z.weight,16,True,0.0,0.0,0.0,0.0,1.0,2097152
model.layers.0.linear_attn.in_proj_b.weight,16,True,0.0,0.0,0.0,0.0,1.0,16384
model.layers.0.linear_attn.in_proj_a.weight,16,True,0.0,0.0,0.0,0.0,1.0,16384
model.layers.0.mlp.gate_proj.weight,16,True,0.0,0.0,0.0,0.0,1.0,3670016
model.layers.0.mlp.up_proj.weight,16,True,0.0,0.0,0.0,0.0,1.0,3670016
model.layers.0.mlp.down_proj.weight,16,True,0.0,0.0,0.0,0.0,1.0,3670016
model.layers.0.input_layernorm.weight,16,True,0.0,0.0,0.0,0.0,1.0,1024
model.layers.0.post_attention_layernorm.weight,16,True,0.0,0.0,0.0,0.0,1.0,1024
model.layers.1.linear_attn.dt_bias,16,True,0.0,0.0,0.0,0.0,1.0,16
model.layers.1.linear_attn.A_log,16,True,0.0,0.0,0.0,0.0,1.0,16
model.layers.1.linear_attn.conv1d.weight,16,True,0.0,0.0,0.0,0.0,1.0,24576
model.layers.1.linear_attn.norm.weight,16,True,0.0,0.0,0.0,0.0,1.0,128
model.layers.1.linear_attn.out_proj.weight,16,True,0.0,0.0,0.0,0.0,1.0,2097152
model.layers.1.linear_attn.in_proj_qkv.weight,16,True,0.0,0.0,0.0,0.0,1.0,6291456
