plane_index,plane_name,pct_ones,pct_zeros,entropy,compression_ratio
15,Plane 15 (MSB),49.8541,50.1459,0.739972,16.0
14,Plane 14,0.0001,99.9999,0.080219,16.0
13,Plane 13,58.1072,41.8928,0.696805,16.0
12,Plane 12,38.9825,61.0175,0.750823,16.0
11,Plane 11,39.9887,60.0113,0.826828,16.0
10,Plane 10,50.6718,49.3282,0.912454,16.0
9,Plane 9,41.6525,58.3475,0.947146,16.0
8,Plane 8,45.7333,54.2667,0.976497,16.0
7,Plane 7,47.941,52.059,0.985629,16.0
6,Plane 6,49.0669,50.9331,0.994455,16.0
5,Plane 5,49.6249,50.3751,0.995066,16.0
4,Plane 4,49.8964,50.1036,0.992332,16.0
3,Plane 3,50.0139,49.9861,0.995698,16.0
2,Plane 2,0.1831,99.8169,0.071947,16.0
1,Plane 1,0.0915,99.9085,0.063836,16.0
0,Plane 0 (LSB),0.0382,99.9618,0.050145,16.0
