precision_bits,tensor_category,mean_mae,mean_rmse,mean_cosine_similarity
10,Embedding,0.000302,0.000467,1.0
10,Other,0.012156,0.017251,0.99993
10,LayerNorm,0.010695,0.013136,0.999909
10,Attn O,0.000176,0.000284,0.999997
10,MLP Gate,0.000214,0.000344,0.99999
10,MLP Up,0.000134,0.000208,0.999999
10,MLP Down,0.000127,0.000199,1.0
10,Attn Q,0.000232,0.000382,1.0
10,Attn K,0.000162,0.000266,0.999948
10,Attn V,0.000223,0.000372,0.999941
10,LM Head,0.000302,0.000467,1.0
8,Embedding,0.001276,0.001903,1.0
8,Other,0.048366,0.066977,0.998691
8,LayerNorm,0.040976,0.048869,0.998701
8,Attn O,0.000741,0.001156,0.998662
8,MLP Gate,0.000905,0.001402,0.998915
8,MLP Up,0.000565,0.000847,0.99892
8,MLP Down,0.000534,0.000812,0.998871
8,Attn Q,0.000979,0.001559,0.99901
8,Attn K,0.000685,0.001084,0.998517
8,Attn V,0.000941,0.001514,0.998513
8,LM Head,0.001276,0.001903,1.0
6,Embedding,0.004296,0.006148,1.0
6,Other,0.16667,0.217843,0.982149
6,LayerNorm,0.155337,0.180609,0.98058
6,Attn O,0.002499,0.003751,0.980722
6,MLP Gate,0.003052,0.004542,0.980959
6,MLP Up,0.001904,0.002738,0.980974
6,MLP Down,0.001799,0.002622,0.980938
6,Attn Q,0.003302,0.005052,0.981003
6,Attn K,0.002312,0.003515,0.980735
6,Attn V,0.003173,0.004901,0.980764
6,LM Head,0.004296,0.006148,1.0
